product_id,category,unit_price
1,clothing,13.48
2,sports,123.2
3,grocery,368.5
4,clothing,295.66
5,electronics,15.87
6,books,117.1
7,electronics,281.06
8,toys,111.0
9,sports,404.91
10,electronics,379.64
11,grocery,349.37
12,beauty,139.66
13,books,478.65
14,beauty,52.0
15,toys,49.26
16,beauty,302.26
17,electronics,365.14
18,clothing,486.58
19,toys,40.32
20,sports,414.87
21,beauty,289.1
22,clothing,23.87
23,books,386.76
24,clothing,427.8
25,clothing,190.68
26,home,318.21
27,beauty,82.16
28,beauty,105.54
29,sports,351.21
30,clothing,304.96
31,grocery,267.54
32,books,82.54
33,toys,135.7
34,books,342.62
35,electronics,115.29
36,electronics,402.72
37,toys,134.6
38,books,456.65
39,beauty,107.1
40,home,198.42
41,home,72.29
42,grocery,124.07
43,sports,373.76
44,toys,449.01
45,toys,181.64
46,grocery,255.25
47,clothing,378.14
48,clothing,77.27
49,grocery,396.25
50,toys,298.61
51,toys,191.43
52,home,265.03
53,electronics,340.46
54,clothing,341.17
55,sports,384.53
56,beauty,56.66
57,toys,79.92
58,electronics,476.95
59,sports,485.97
60,grocery,254.33
61,clothing,435.39
62,sports,420.99
63,books,77.27
64,grocery,270.15
65,electronics,299.87
66,home,10.72
67,beauty,439.48
68,sports,120.49
69,books,439.13
70,clothing,43.74
71,home,408.2
72,grocery,65.07
73,home,473.48
74,grocery,133.26
75,toys,482.22
76,books,356.76
77,toys,497.58
78,beauty,219.61
79,home,61.38
80,books,32.95
81,electronics,294.57
82,books,294.63
83,electronics,36.43
84,electronics,115.24
85,electronics,429.96
86,clothing,257.56
87,sports,334.82
88,books,270.08
89,home,122.26
90,home,403.94
91,books,48.07
92,toys,177.79
93,toys,234.05
94,electronics,337.01
95,clothing,31.25
96,beauty,400.5
97,clothing,125.08
98,books,268.61
99,grocery,211.52
100,sports,231.85
101,clothing,222.12
102,clothing,26.24
103,electronics,484.53
104,books,83.99
105,home,241.2
106,toys,451.32
107,grocery,190.11
108,toys,133.34
109,home,143.34
110,home,78.24
111,sports,109.63
112,electronics,290.01
113,electronics,374.24
114,electronics,26.02
115,home,251.92
116,grocery,29.38
117,clothing,425.82
118,clothing,297.92
119,books,202.48
120,books,289.88
121,electronics,310.07
122,toys,329.03
123,beauty,467.42
124,books,335.19
125,beauty,120.1
126,toys,66.31
127,sports,229.16
128,clothing,5.65
129,clothing,37.56
130,books,253.44
131,grocery,466.7
132,clothing,439.76
133,beauty,143.21
134,home,417.04
135,sports,306.23
136,electronics,334.26
137,sports,465.95
138,clothing,469.53
139,grocery,132.97
140,clothing,371.47
141,grocery,136.9
142,books,359.09
143,books,344.06
144,sports,253.2
145,sports,452.76
146,electronics,47.06
147,toys,414.84
148,electronics,2.77
149,grocery,318.92
150,sports,81.63
151,home,276.29
152,toys,280.89
153,clothing,38.55
154,grocery,273.25
155,beauty,291.67
156,grocery,215.46
157,electronics,154.82
158,electronics,449.56
159,books,341.35
160,clothing,177.49
161,toys,486.94
162,grocery,462.96
163,books,432.44
164,grocery,440.83
165,electronics,90.5
166,beauty,391.41
167,toys,401.32
168,books,134.14
169,clothing,191.89
170,electronics,429.44
171,books,100.59
172,home,175.48
173,books,112.24
174,books,199.83
175,sports,432.31
176,sports,176.22
177,toys,340.08
178,beauty,469.68
179,clothing,438.64
180,sports,90.11
181,sports,20.09
182,toys,173.5
183,beauty,218.76
184,clothing,193.21
185,books,128.11
186,toys,1.84
187,books,182.75
188,clothing,474.49
189,beauty,311.95
190,clothing,360.16
191,sports,254.05
192,toys,163.77
193,sports,277.65
194,books,210.8
195,toys,338.98
196,grocery,308.14
197,sports,203.63
198,electronics,152.63
199,books,215.51
200,beauty,233.03
201,home,338.14
202,home,397.07
203,grocery,329.77
204,sports,258.21
205,beauty,47.6
206,books,336.73
207,books,403.47
208,grocery,13.19
209,books,491.98
210,clothing,228.25
211,books,359.45
212,toys,247.69
213,books,74.64
214,electronics,446.44
215,clothing,389.43
216,books,88.77
217,home,26.06
218,books,458.82
219,clothing,228.77
220,home,334.12
221,beauty,475.07
222,home,306.71
223,toys,415.45
224,home,448.71
225,home,225.58
226,books,420.09
227,sports,383.14
228,home,313.75
229,sports,220.5
230,sports,118.01
231,beauty,160.54
232,clothing,70.05
233,books,192.13
234,grocery,353.5
235,clothing,208.02
236,beauty,271.76
237,toys,32.07
238,toys,195.35
239,electronics,428.51
240,toys,239.01
241,beauty,150.01
242,toys,426.87
243,toys,269.57
244,books,244.63
245,sports,218.48
246,electronics,195.04
247,toys,362.37
248,home,459.85
249,electronics,453.56
250,electronics,42.89
251,toys,68.71
252,home,91.68
253,sports,190.17
254,books,227.89
255,beauty,380.85
256,toys,139.85
257,toys,126.88
258,clothing,235.68
259,electronics,499.95
260,beauty,112.89
261,clothing,390.84
262,electronics,377.36
263,books,100.48
264,electronics,311.05
265,books,63.98
266,clothing,282.42
267,books,233.05
268,sports,383.68
269,grocery,303.34
270,clothing,389.12
271,grocery,482.4
272,clothing,289.76
273,sports,288.32
274,toys,198.93
275,books,38.92
276,books,51.85
277,sports,425.3
278,clothing,398.32
279,electronics,174.25
280,toys,331.1
281,clothing,253.47
282,beauty,7.31
283,toys,411.34
284,clothing,217.33
285,beauty,318.16
286,home,353.95
287,toys,88.89
288,sports,308.34
289,home,232.97
290,sports,161.83
291,books,415.53
292,clothing,140.19
293,home,122.69
294,home,285.35
295,toys,168.86
296,home,425.63
297,grocery,244.29
298,beauty,399.12
299,beauty,140.55
300,sports,278.34
301,books,43.72
302,toys,244.8
303,books,345.61
304,home,224.64
305,electronics,47.43
306,books,202.8
307,books,153.8
308,beauty,237.16
309,beauty,213.33
310,beauty,176.55
311,home,136.19
312,sports,116.04
313,books,158.46
314,grocery,96.58
315,home,138.97
316,sports,490.27
317,books,148.83
318,beauty,90.54
319,electronics,354.3
320,grocery,137.88
321,electronics,277.13
322,grocery,319.3
323,home,52.19
324,electronics,287.46
325,home,239.88
326,beauty,93.0
327,electronics,126.99
328,home,57.93
329,clothing,200.95
330,clothing,288.93
331,electronics,76.71
332,sports,43.51
333,books,60.11
334,toys,303.55
335,books,388.07
336,toys,225.81
337,home,149.38
338,toys,153.38
339,electronics,305.21
340,clothing,473.85
341,books,313.13
342,sports,330.55
343,grocery,120.69
344,clothing,79.11
345,toys,225.8
346,home,146.34
347,books,144.76
348,sports,351.79
349,home,36.52
350,books,462.03
351,books,213.14
352,books,324.17
353,sports,413.49
354,clothing,30.76
355,sports,297.93
356,sports,220.14
357,home,344.65
358,toys,471.4
359,home,219.44
360,electronics,444.82
361,beauty,302.25
362,electronics,46.57
363,electronics,499.79
364,sports,288.55
365,grocery,235.78
366,home,458.12
367,grocery,498.48
368,toys,317.76
369,home,484.56
370,home,174.63
371,beauty,161.21
372,clothing,429.01
373,beauty,206.41
374,home,144.82
375,toys,406.97
