customer_id,order_id,product_id,amount,ts,country,ts_parsed
10311,251,386,38.58,2023-05-02 07:55:51,NP,2023-05-02T07:55:51.000+05:45
10232,1260,38,110.55,2024-03-23 10:39:45,GB,2024-03-23T10:39:45.000+05:45
10487,1700,469,84.18,2025-07-31 03:04:25,NP,2025-07-31T03:04:25.000+05:45
10272,2396,175,34.96,2025-07-16 19:52:45,NP,2025-07-16T19:52:45.000+05:45
10480,2622,438,72.41,2024-12-22 22:11:26,BR,2024-12-22T22:11:26.000+05:45
10380,3010,33,39.97,2025-02-26 23:45:16,NP,2025-02-26T23:45:16.000+05:45
10115,3661,238,85.67,2025-06-03 08:30:56,NP,2025-06-03T08:30:56.000+05:45
10471,5100,366,25.42,2026-02-12 13:35:53,NP,2026-02-12T13:35:53.000+05:45
10160,5160,349,9.81,2025-04-12 21:24:50,US,2025-04-12T21:24:50.000+05:45
10421,5480,8,35.52,2024-01-28 19:29:14,JP,2024-01-28T19:29:14.000+05:45
10287,5756,340,210.77,2024-10-17 19:14:17,DE,2024-10-17T19:14:17.000+05:45
10449,7306,408,19.98,2024-01-08 15:00:32,NP,2024-01-08T15:00:32.000+05:45
10420,7311,269,341.04,2025-04-21 03:57:33,NP,2025-04-21T03:57:33.000+05:45
10236,8902,153,175.39,2023-03-24 22:10:13,NP,2023-03-24T22:10:13.000+05:45
10017,11033,431,101.55,2026-05-06 06:07:54,NP,2026-05-06T06:07:54.000+05:45
10001,11936,100,63.48,2023-10-24 19:42:57,IN,2023-10-24T19:42:57.000+05:45
10015,13415,236,13.86,2023-11-24 08:21:13,NP,2023-11-24T08:21:13.000+05:45
10040,14128,304,127.95,2024-06-24 04:53:50,NP,2024-06-24T04:53:50.000+05:45
10098,16916,351,61.02,2024-04-10 00:39:10,NP,2024-04-10T00:39:10.000+05:45
10089,17504,294,15.94,2025-07-13 02:55:04,NP,2025-07-13T02:55:04.000+05:45
10038,18496,312,81.54,2023-06-25 15:42:57,NP,2023-06-25T15:42:57.000+05:45
10498,18759,26,19.63,2025-08-20 10:05:51,NP,2025-08-20T10:05:51.000+05:45
10044,20223,5,41.02,2025-03-30 09:04:06,AU,2025-03-30T09:04:06.000+05:45
10117,20731,284,59.51,2023-03-09 13:02:19,JP,2023-03-09T13:02:19.000+05:45
10019,21761,464,273.62,2024-09-24 06:26:09,IN,2024-09-24T06:26:09.000+05:45
10341,23491,324,46.06,2023-01-12 23:22:09,IN,2023-01-12T23:22:09.000+05:45
10024,23807,481,7.09,2024-03-19 00:11:02,DE,2024-03-19T00:11:02.000+05:45
10098,24479,226,150.92,2025-04-22 09:50:01,NP,2025-04-22T09:50:01.000+05:45
